[2022-06-24 08:45:00, 1.05315, 1.0533, 1.05295, 1.0532, 1.0526399999999996, 1.0523150000000003, 0.0], Buy to Close, EUR, 2000.0
[2022-06-24 08:45:00, 1.05315, 1.0533, 1.05295, 1.053, 1.0525999999999995, 1.0522950000000004, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 08:50:00, 1.05295, 1.0531, 1.05295, 1.0531, 1.053090000000002, 1.0531000000000046, 0.0], Sell to Close, EUR, 20000.0
[2022-06-24 08:50:00, 1.05295, 1.05315, 1.05295, 1.05315, 1.0531000000000021, 1.0531050000000046, 0.0], Sell to Open, EUR, 20000.0
[2022-06-24 08:52:00, 1.0533, 1.05335, 1.0533, 1.05335, 1.0532000000000021, 1.0531600000000043, 0.0], Buy to Close, EUR, 20000.0
[2022-06-24 08:52:00, 1.0533, 1.05335, 1.0533, 1.0533, 1.053190000000002, 1.0531550000000043, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:15:00, 0.8581, 0.85815, 0.85805, 0.8581, 0.8582599999999999, 0.8584000000000002, 0.0], Sell to Close, EUR, 20000.0
[2022-06-24 09:15:00, 0.8581, 0.85815, 0.85805, 0.8581, 0.8582599999999999, 0.8584000000000002, 0.0], Sell to Close, EUR, 20000.0
[2022-06-24 09:15:00, 0.8581, 0.85815, 0.85805, 0.8581, 0.8582599999999999, 0.8584000000000002, 0.0], Sell to Close, EUR, 20000.0
[2022-06-24 09:15:00, 0.8581, 0.85815, 0.85805, 0.8581, 0.8582599999999999, 0.8584000000000002, 0.0], Sell to Close, EUR, 20000.0
[2022-06-24 09:15:00, 0.8581, 0.85815, 0.85805, 0.8581, 0.8582599999999999, 0.8584000000000002, 0.0], Sell to Close, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.858, 0.85805, 0.85836, 0.8582999999999995, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.858, 0.85805, 0.85836, 0.8582999999999995, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.858, 0.85805, 0.85836, 0.8582999999999995, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.858, 0.85805, 0.85836, 0.8582999999999995, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.858, 0.85805, 0.85836, 0.8582999999999995, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.858, 0.85805, 0.85836, 0.8582999999999995, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.858, 0.85805, 0.85836, 0.8582999999999995, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 09:00:00, 0.85815, 0.85825, 0.8579, 0.85795, 0.8583400000000001, 0.8582899999999996, 0.0], Buy to Open, EUR, 20000.0
[2022-06-24 10:31:00, 1.0532, 1.0532, 1.05315, 1.05315, 1.0532100000000022, 1.0532150000000042, 0.0], Sell to Open, EUR, USD, 0.0, 20000.0
[2022-06-24 10:33:00, 0.85805, 0.85805, 0.85805, 0.85805, 0.8580499999999975, 0.8580500000000006, 0.0], Sell to Open, EUR, GBP, 0.0, 20000.0
[2022-06-24 10:36:00, 1.05345, 1.05345, 1.05345, 1.05345, 1.053310000000002, 1.0532650000000041, 0.0], Buy to Close, EUR, USD, -20000.0, 20000.0
[2022-06-24 10:36:00, 1.05345, 1.05345, 1.05345, 1.05345, 1.053310000000002, 1.0532650000000041, 0.0], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-06-24 10:37:00, 0.8581, 0.8581, 0.85805, 0.8581, 0.8580799999999978, 0.8580650000000005, 0.0], Buy to Open, EUR, GBP, 0.0, 30000.0
[2022-06-24 11:02:00, 1.05325, 1.05325, 1.0532, 1.0532, 1.053250000000002, 1.0532500000000042, -1.0], Buy to Open, EUR, USD, 0.0, 30000.0
[2022-06-24 11:02:00, 1.05325, 1.05325, 1.0532, 1.0532, 1.053250000000002, 1.0532500000000042, -1.0], Buy to Open, EUR, USD, 0.0, 30000.0
[2022-06-24 11:02:00, 1.05325, 1.05325, 1.05315, 1.05315, 1.053240000000002, 1.0532450000000042, -1.0], Buy to Open, EUR, USD, 0.0, 30000.0
[2022-06-24 11:17:30, 0.8582, 0.8582, 0.8582, 0.8582, 0.8582299999999965, 0.8582600000000002, 0.0], Sell to Open, EUR, GBP, 0.0, 40000.0
[2022-06-24 11:21:00, 0.85825, 0.85825, 0.8582, 0.8582, 0.8582299999999965, 0.8582200000000004, 0.0], Buy to Close, EUR, GBP, -40000.0, 40000.0
[2022-06-24 11:21:00, 0.85825, 0.85825, 0.8582, 0.8582, 0.8582299999999965, 0.8582200000000004, 0.0], Buy to Open, EUR, GBP, 0.0, 40000.0
[2022-06-24 11:21:30, 141.965, 141.965, 141.9625, 141.965, 141.96150000000026, 141.9625, 0.0], Sell to Open, EUR, JPY, 0.0, 50000.0
[2022-06-24 11:22:00, 141.975, 141.975, 141.9725, 141.975, 141.96800000000025, 141.96524999999997, 0.0], Buy to Close, EUR, JPY, -50000.0, 50000.0
[2022-06-24 11:22:00, 1.0537, 1.0537, 1.05365, 1.05365, 1.0536600000000036, 1.05369, 0.0], Sell to Open, EUR, USD, 0.0, 30000.0
[2022-06-24 11:22:00, 141.975, 141.975, 141.97, 141.9725, 141.96750000000026, 141.96499999999997, 0.0], Buy to Open, EUR, JPY, 0.0, 50000.0
[2022-06-24 11:23:30, 0.8582, 0.8582, 0.8582, 0.8582, 0.8582299999999965, 0.8582300000000004, 0.0], Sell to Close, EUR, GBP, 40000.0, 40000.0
[2022-06-24 11:23:30, 1.0538, 1.0538, 1.05365, 1.05375, 1.0537300000000034, 1.0537, 0.0], Buy to Close, EUR, USD, -30000.0, 30000.0
[2022-06-24 11:23:30, 1.0538, 1.0538, 1.05365, 1.05375, 1.0537300000000034, 1.0537, 0.0], Buy to Open, EUR, USD, 0.0, 30000.0
[2022-06-24 11:23:30, 0.8582, 0.8582, 0.8582, 0.8582, 0.8582299999999965, 0.8582300000000004, 0.0], Sell to Open, EUR, GBP, 0.0, 40000.0
[2022-06-24 11:24:00, 0.85825, 0.85825, 0.85825, 0.85825, 0.8582399999999965, 0.8582400000000003, -1.0], Buy to Close, EUR, GBP, -40000.0, 40000.0
[2022-06-24 11:24:00, 0.85825, 0.85825, 0.85825, 0.85825, 0.8582399999999965, 0.8582400000000003, -1.0], Buy to Open, EUR, GBP, 0.0, 40000.0
