2023-10-26 10:15:00 1.054375 1.054575 1.054375 1.054475, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-10-26 10:15:00 1.054375 1.054575 1.054375 1.0545, Sell to Open, EUR, USD, 0.0, 20000.0
2023-10-26 10:15:00 1.054375 1.054575 1.054375 1.054475, Buy to Close, EUR, USD, -20000.0, 20000.0
2023-10-26 10:30:00 1.054275 1.054675 1.054125 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 10:30:00 1.054275 1.054675 1.054125 1.054675, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-10-26 10:30:00 1.054275 1.054675 1.054125 1.054675, Sell to Open, EUR, USD, 0.0, 20000.0
2023-10-26 10:45:00 1.054475 1.054775 1.054425 1.054575, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 10:45:00 1.054475 1.054775 1.054425 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054775 1.054675 1.0547, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054775 1.054675 1.054775, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054775 1.054675 1.054775, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054675 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.054625, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.0547, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054625 1.054675, Buy to Open, EUR, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054575 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:00:00 1.054675 1.054825 1.054575 1.054675, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:00:00 1.054675 1.054825 1.054575 1.054675, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:00:00 1.054675 1.054825 1.054575 1.054675, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:00:00 1.054675 1.054825 1.054575 1.054675, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:00:00 1.054675 1.054825 1.054575 1.054675, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054625, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054625, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054625, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 20000.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 11:15:00 1.054675 1.0547 1.05455 1.054575, Buy to Open, AAPL, USD, 0.0, 1.0
2023-10-26 02:45:00 171.09 171.43 171.05 171.29, Buy to Close, AAPL, USD, -1000.0, 1.0
2023-10-26 02:45:00 171.09 171.43 171.05 171.29, Buy to Close, AAPL, USD, -1000.0, 1.0
2023-10-26 02:45:00 171.09 171.43 171.05 171.29, Buy to Close, AAPL, USD, -1000.0, 1.0
2023-10-26 02:45:00 171.09 171.43 171.05 171.29, Buy to Close, AAPL, USD, -1000.0, 1.0
2023-10-26 02:45:00 171.09 171.43 171.05 171.29, Buy to Close, AAPL, USD, -1000.0, 1.0
2023-10-25 02:45:00 1.66 1.66 1.66 1.66, Buy to Close, OPT, USD, -1000.0, 1.0
