2022-10-24 13:15:00 0.9856 0.98585 0.9847 0.98495, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 13:15:00 0.9856 0.98585 0.9847 0.985, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 13:15:00 0.9856 0.98585 0.9847 0.9851, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-24 13:15:00 0.9856 0.98585 0.9847 0.9851, Buy to Close, EUR, USD, -20000.0, 20000.0
2022-10-24 13:15:00 0.9856 0.98585 0.9847 0.985, Sell to Open, EUR, USD, 0.0, 20000.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 20000.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 20000.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 20000.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
2022-10-22 02:45:00 147.635 147.725 147.245 147.295, Buy to Open, AAPL, USD, 0.0, 1.0
