2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11195, Buy to Open, EUR, USD, 0.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11205, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11235, Buy to Open, EUR, USD, 0.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11235, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11235, Sell to Open, EUR, USD, 0.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11235, Buy to Close, EUR, USD, -20000.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.1124, Buy to Open, EUR, USD, 0.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11245, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11245, Buy to Open, EUR, USD, 0.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.11245, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-07-24 00:00:00 1.11265 1.1133 1.1117 1.1125, Buy to Open, EUR, USD, 0.0, 20000.0
2023-07-24 12:15:00 1.1126 1.1126 1.11255 1.11255, Sell to Close, EUR, USD, 20000.0, 20000.0
2023-07-24 12:15:00 1.1126 1.1126 1.11245 1.11245, Buy to Open, EUR, USD, 0.0, 20000.0
