[2022-09-27 20:30:00, 0.96215, 0.9624, 0.96165, 0.9619, 0.9626900000000006, 0.9633949999999996, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 20:30:00, 0.96215, 0.9624, 0.96165, 0.96215, 0.9627400000000007, 0.9634199999999995, 0.0, 0.9671, 0.96535], Sell to Close, EUR, USD, 20000.0, 20000.0
[2022-09-27 21:15:00, 0.96065, 0.9615, 0.9602, 0.96125, 0.9620000000000006, 0.9628049999999995, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:15:00, 0.96065, 0.9615, 0.9602, 0.96125, 0.9620000000000006, 0.9628049999999995, 0.0, 0.9671, 0.96535], Sell to Close, EUR, USD, 20000.0, 20000.0
[2022-09-27 21:15:00, 0.96065, 0.9621, 0.9602, 0.96195, 0.9621400000000007, 0.9628749999999995, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:15:00, 0.96065, 0.9621, 0.9602, 0.96185, 0.9621200000000008, 0.9628649999999995, 0.0, 0.9671, 0.96535], Sell to Close, EUR, USD, 20000.0, 20000.0
[2022-09-27 21:15:00, 0.96065, 0.9621, 0.9602, 0.9618, 0.9621100000000007, 0.9628599999999995, 0.0, 0.9671, 0.96535], Sell to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:15:00, 0.96065, 0.9621, 0.9602, 0.9617, 0.9620900000000008, 0.9628499999999995, 0.0, 0.9671, 0.96535], Buy to Close, EUR, USD, -20000.0, 20000.0
[2022-09-27 21:30:00, 0.9606, 0.96125, 0.9605, 0.9611, 0.9616600000000007, 0.9624099999999995, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:30:00, 0.9606, 0.96125, 0.9605, 0.9611, 0.9616600000000007, 0.9624099999999995, 0.0, 0.9671, 0.96535], Sell to Close, EUR, USD, 20000.0, 20000.0
[2022-09-27 21:30:00, 0.9606, 0.96125, 0.9605, 0.96105, 0.9616500000000008, 0.9624049999999995, 0.0, 0.9671, 0.96535], Sell to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:45:00, 0.96155, 0.9625, 0.96115, 0.9623, 0.9614800000000006, 0.9622599999999997, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:45:00, 0.96155, 0.9625, 0.96115, 0.96235, 0.9614900000000006, 0.9622649999999997, 0.0, 0.9671, 0.96535], Sell to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:45:00, 0.96155, 0.9625, 0.96115, 0.9624, 0.9615000000000006, 0.9622699999999996, 0.0, 0.9671, 0.96535], Sell to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:45:00, 0.96155, 0.9625, 0.96115, 0.9623, 0.9614800000000006, 0.9622599999999997, 0.0, 0.9671, 0.96535], Sell to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:45:00, 0.96155, 0.9625, 0.96115, 0.9624, 0.9615000000000006, 0.9622699999999996, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:45:00, 0.96155, 0.9625, 0.96115, 0.9625, 0.9615200000000007, 0.9622799999999996, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
[2022-09-27 21:45:00, 0.96155, 0.9626, 0.96115, 0.9626, 0.9615400000000006, 0.9622899999999996, 0.0, 0.9671, 0.96535], Buy to Open, EUR, USD, 0.0, 20000.0
